publisher,size,closed,oa
Elsevier BV,39369,24967,14402
Ovid Technologies (Wolters Kluwer Health),1710,1245,465
Cambridge University Press (CUP),1052,428,624
Springer Science and Business Media LLC,13344,4908,8436
EDP Sciences,2352,177,2175
Association scientifique et technique pour l'eau et l'environnement,41,36,5
American Society of Civil Engineers (ASCE),66,49,17
AIP Publishing,858,302,556
Informa UK Limited,3278,1906,1372
IOP Publishing,1752,444,1308
Oxford University Press (OUP),3673,663,3010
The Royal Society,205,1,204
American Physical Society (APS),2114,203,1911
Institute of Electrical and Electronics Engineers ,7257,4544,2713
Wiley,8700,4236,4464
Acoustical Society of America (ASA),162,114,48
American Association for the Advancement of Science (AAAS),256,23,233
Pleiades Publishing Ltd,122,93,29
BMJ,636,224,412
Radiological Society of North America (RSNA),36,1,35
Open Book Publishers,4,0,4
SAGE Publications,1260,741,519
European Respiratory Society (ERS),151,2,149
Institute of Mathematical Statistics,81,1,80
The Company of Biologists,123,0,123
"Institute of Physics, Polish Academy of Sciences",15,0,15
Environmental Health Perspectives,18,6,12
Public Library of Science (PLoS),1205,0,1205
Brepols Publishers NV,61,54,7
Walter de Gruyter GmbH,523,243,280
"Institute of Europe, Russian Academy of Sciences (IERAS)",13,0,13
University of California Press,29,11,18
"Institute of Electronics, Information and Communications Engineers (IEICE)",1,0,1
John Libbey Eurotext,228,216,12
International Society for Horticultural Science (ISHS),11,5,6
Uopen Journals,21,0,21
Brill,196,146,50
The Publishing Group Jurist,6,0,6
Universidad Nacional de La Pampa,18,0,18
AME Publishing Company,267,102,165
Coastal Education and Research Foundation,31,24,7
ISTE OpenScience,32,2,30
The Bulletin of Zoological Nomenclature,5,5,0
Future Medicine Ltd,77,46,31
House of Scientific Research,2,0,2
American Diabetes Association,134,77,57
LLC Russian Science,28,0,28
University of Alberta Libraries,9,0,9
AMUB/Revue Medicale de Bruxelles,3,0,3
Lavoisier,552,409,143
American Dairy Science Association,59,0,59
Swiss Forestry Society,2,0,2
LLC MORION,5,0,5
Bangladesh Journals Online (JOL),4,0,4
Frontiers Media SA,1901,0,1901
MDPI AG,2326,0,2326
Georg Thieme Verlag KG,428,280,148
"SLACK, Inc.",5,3,2
OpenEdition,4246,1038,3208
Europa Digital & Publishing,32,17,15
,990,542,448
University Nove de Julho,4,0,4
American Chemical Society (ACS),2390,1348,1042
Cold Spring Harbor Laboratory,1462,3,1459
Geological Society of London,35,19,16
American Association for Cancer Research (AACR),115,2,113
American Society of Hematology,584,5,579
UN,2855,2760,95
Anticancer Research USA Inc.,17,9,8
WIT Press,15,0,15
American Astronomical Society,474,18,456
Copernicus GmbH,1127,19,1108
"John Wiley & Sons, Ltd",116,109,7
American Society for Microbiology,336,2,334
Laeknabladid/The Icelandic Medical Journal,22,0,22
Bentham Science Publishers Ltd.,258,114,144
American Society of Neuroradiology (ASNR),29,0,29
European Mathematical Society Publishing House,158,33,125
Nordic Council of Ministers,293,287,6
Emerald,402,306,96
The Optical Society,447,194,253
"Impact Journals, LLC",194,0,194
IUCN,234,233,1
American Mathematical Society (AMS),143,7,136
JMIR Publications Inc.,117,3,114
The World Academy of Research in Science and Engineering,1,0,1
Proceedings of the National Academy of Sciences,242,0,242
Society for Industrial and Applied Mathematics,9,0,9
Mineralogical Society,11,9,2
American Society of Clinical Oncology (ASCO),666,558,108
"MedCrave Group, LLC",44,0,44
TathQeef Scientific Publishing,1,0,1
American Institute of Aeronautics and Astronautics (AIAA),46,15,31
Edizioni Ca' Foscari,10,0,10
Science Trends,26,23,3
Sciencedomain International,38,25,13
SPIE-Intl Soc Optical Eng,46,15,31
Bioscientifica,142,67,75
Latvia University of Life Sciences and Technologies. Faculty of Economics and Social Development,5,0,5
John Benjamins Publishing Company,152,129,23
Microbiology Society,67,0,67
SPIE,1132,813,319
United Nations Publications,1030,967,63
Valley International,34,0,34
American Geophysical Union (AGU),688,158,530
American Thoracic Society,64,39,25
Society of Nuclear Medicine,23,1,22
Ferrata Storti Foundation (Haematologica),112,0,112
World Scientific Pub Co Pte Lt,280,114,166
OAE Publishing Inc.,9,0,9
Annual Reviews,41,20,21
Institute for Operations Research and the Management Sciences (INFORMS),52,22,30
Biblioteca Central da UNB,10,0,10
American Society of Tropical Medicine and Hygiene,41,0,41
Springer International Publishing,6084,4433,1651
American Association for Cancer Research,325,290,35
American Society for Biochemistry & Molecular Biology (ASBMB),88,0,88
EMBO,85,0,85
APESC - Associacao Pro-Ensino em Santa Cruz do Sul,1,0,1
Edinburgh University Library,4,0,4
The Journal of Clinical Pediatric Dentistry,1,1,0
"Australian Mathematical Publishing Association, Inc.",3,0,3
Faculty Opinions Ltd,192,187,5
Korean Society of Environmental Engineering,1,0,1
"Faculty of Food and Agriculture, United Arab Emirates University",3,0,3
American Medical Association (AMA),179,50,129
Mary Ann Liebert Inc,202,133,69
Geological Society of America,80,54,26
IOS Press,222,121,101
PeerJ,186,0,186
American Society of Plant Biologists (ASPB),51,0,51
American Society for Clinical Investigation,64,0,64
Librello,1,0,1
American Academy of Pediatrics (AAP),38,0,38
American Society of Nephrology (ASN),21,0,21
AVES Publishing Co.,23,0,23
University of Zagreb Faculty of Civil Engineering,2,2,0
International Union of Crystallography (IUCr),160,39,121
Mathematical Sciences Publishers,61,4,57
IJEES,1,1,0
Routledge,46,45,1
WORLD SCIENTIFIC,107,90,17
University of Chicago Press,47,25,22
Canadian Science Publishing,65,19,46
S. Karger AG,278,132,146
American Meteorological Society,103,10,93
Seismological Society of America (SSA),34,21,13
Juniper Publishers,21,0,21
Universidad Nacional de La Plata,6,0,6
Future Science Ltd,27,14,13
University of Illinois Libraries,4,0,4
Consortium Erudit,457,23,434
Scientific Societies,45,0,45
National Documentation Centre (EKT),15,0,15
Stichting SciPost,28,0,28
American Physiological Society,83,8,75
F1000 Research Ltd,55,0,55
Yale University Press,9,9,0
European Centre for Disease Control and Prevention (ECDC),33,0,33
World Trade Organization,158,151,7
MyJove Corporation,61,0,61
Fordham University Press,61,61,0
American Institute of Aeronautics and Astronautics,116,59,57
Journal of Neurosurgery Publishing Group (JNSPG),43,5,38
University of New Brunswick Libraries - UNB,1,0,1
ESRSA Publications Pvt. Ltd.,4,2,2
ACM Press,605,312,293
IEREK Research Enrichment and Knowledge Exchange,1,0,1
Springer Berlin Heidelberg,229,197,32
The Endocrine Society,58,7,51
Magnolia Press,120,91,29
United Nations,53,53,0
Amsterdam University Press,32,31,1
Dustri-Verlgag Dr. Karl Feistle,15,15,0
Springer Singapore,338,289,49
American Psychiatric Association Publishing,11,1,10
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka),25,6,19
Panorama of Brazilian Law,6,0,6
"Faculty of Philology, Lomonosov Moscow State University",1,0,1
Instituto Politecnico de Viseu,1,0,1
Carl Hanser Verlag GmbH & Co. KG,1,1,0
InTech,102,2,100
"eLife Sciences Publications, Ltd",102,0,102
Pontificia Universidad Catolica de Chile,5,1,4
Cambridge University Press,18,12,6
Bezmialem Vakif University,1,0,1
Now Publishers,11,4,7
Instituto de Investigaciones Filologicas,2,0,2
International Journal Of Advanced Research,28,0,28
GSC Online Press,2,0,2
WTO,120,118,2
Pageant Media US,14,13,1
Boydell and Brewer Limited,19,19,0
Institution of Engineering and Technology (IET),54,33,21
Oxford University Press,165,145,20
American Vacuum Society,31,18,13
Society of Rheology,15,0,15
British Medical Journal Publishing Group,43,0,43
BMJ Publishing Group Ltd,125,21,104
Duke University Press,29,15,14
British Institute of Radiology,24,0,24
British Editorial Society of Bone & Joint Surgery,31,10,21
De Gruyter,62,42,20
